Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,Year,Month,Season,Log Microplastics Measurement
0260245-0000089,2015-02-02 06:00:00,33.074,35.101667,Eastern Basin,0.1,Manta net,0.333,13.115789,pieces/m3,Very High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2015,2,Winter,2.64729395812409
0279323-0000015,2019-06-11 05:00:00,43.899817,10.037167,Tyrrhenian Sea,0.0,Manta net,0.33,0.016075,pieces/m3,Medium,Caldwell et al. 2020,https://doi.org/10.1016/j.marpolbul.2020.111515,"University of Fribourg, Switzerland",2019,6,Summer,0.015947165329447198
0253450-0000066,2013-06-20 05:00:00,39.800667,6.999833,Western Basin,0.0,Neuston net,0.2,12.459936,pieces/m3,Very High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",2013,6,Summer,2.5997175693761543
0276422-0000692,2021-07-09 05:00:00,38.7505,14.391667,Tyrrhenian Sea,0.0,Manta net,0.33,0.512617,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2021,7,Summer,0.4138412633029878
0260245-0000065,2014-07-08 05:00:00,33.074,35.101667,Eastern Basin,0.1,Manta net,0.333,32.743942,pieces/m3,Very High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2014,7,Summer,3.5188009049108544
0276422-0000307,2016-10-26 05:00:00,43.055,6.343333,Western Basin,0.0,Manta net,0.33,0.735187,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2016,10,Autumn,0.5511151885706972
0276422-0000814,2022-10-23 05:00:00,36.661999,-3.923,Alboran Sea,0.0,Manta net,0.33,0.130492,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,10,Autumn,0.12265293619603237
0253450-0000034,2013-06-08 05:00:00,37.587,12.006,Western Basin,0.0,Neuston net,0.2,1.223491,pieces/m3,High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",2013,6,Summer,0.799078483287834
0270530-0000088,2014-09-18 05:00:00,43.2842,5.2766,Western Basin,0.16,Manta net,0.333,0.676127,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,9,Autumn,0.5164857748453858
0259524-0000057,2017-07-28 05:00:00,37.173,25.693,Aegean Sea,0.0,Manta net,0.333,0.17381,pieces/m3,Medium,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",2017,7,Summer,0.16025486844470702
0270530-0000071,2014-08-27 05:00:00,35.7544,15.6989,Eastern Basin,0.16,Manta net,0.333,0.591474,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,8,Summer,0.46466063081737113
0276422-0000624,2020-10-05 05:00:00,38.854,17.137833,Ionian Sea,0.0,Manta net,0.33,0.482652,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2020,10,Autumn,0.3938323761449136
0270530-0000009,2014-06-07 05:00:00,43.6011,7.4884,Western Basin,0.16,Manta net,0.333,0.295986,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,6,Summer,0.2592717954026001
