Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,ObjectId,x,y
0314180-0000022,5/19/2013 5:00:00 AM,35.3766,25.473,Aegean Sea,0.25,Neuston net,0.2,1.79,pieces/m3,High,Cózar et al. 2015,https://doi.org/10.1371/journal.pone.0121762,"Universidad de Cádiz, Spain",23567,2835641.38897706,4215178.08486967
0276422-0000038,8/29/2012 5:00:00 AM,43.123833,5.060833,Western Basin,0,Manta net,0.33,0.702801,pieces/m3,Medium,Faure et al. 2015,https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",21738,563369.352549795,5330839.52665266
0270528-0000051,6/25/2019 5:00:00 AM,43.3088,5.325,Western Basin,0,Manta net,0.33,0.091036,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",11101,592776.288474182,5359093.09598202
0275968-0000382,7/12/2010 5:00:00 AM,43.8789,9.3394,Ligurian Sea,0,Neuston net,0.33,2.233436,pieces/m3,High,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,11230,1039657.2523147,5446720.76489385
0270530-0000095,10/5/2014 5:00:00 AM,41.7705,8.5923,Western Basin,0.16,Manta net,0.333,1.424415,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11018,956490.460743044,5126663.21064972
0275968-0000391,7/21/2010 5:00:00 AM,42.757,8.4698,Western Basin,0,Neuston net,0.33,0.314502,pieces/m3,Medium,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,11313,942853.823120868,5275057.60730147
0276422-0001136,8/16/2024 5:00:00 AM,39.280834,2.975333,Balearic Sea,0,Manta net,0.33,0.149209,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22674,331212.554500423,4761978.84056885
0276422-0000687,7/4/2021 5:00:00 AM,38.710667,17.685833,Ionian Sea,0,Manta net,0.33,0.232273,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22379,1968777.92381487,4680311.4359265
0260245-0000076,8/18/2014 5:00:00 AM,31.8705,34.6625,Eastern Basin,0.1,Manta net,0.333,3.080448,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",11550,3858611.84962184,3746323.7180762
0276422-0000245,10/18/2015 5:00:00 AM,43.077833,5.980667,Western Basin,0,Manta net,0.33,0.065303,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",21721,665764.805044135,5323826.3368628
0276422-0000844,7/2/2022 5:00:00 AM,41.235001,9.468333,Tyrrhenian Sea,0,Manta net,0.33,0.271796,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22210,1054010.00822115,5047066.29586681
0270520-0000006,7/9/2013 5:00:00 AM,43.5429,6.972,Western Basin,0.1,Manta net,0.333,1.2199,pieces/m3,High,Pedrotti et al. 2016,https://doi.org/10.1371/journal.pone.0161581,Sorbonne Universités,11828,776119.489810703,5394975.25684511
0260245-0000003,7/25/2013 5:00:00 AM,32.823667,35.035,Eastern Basin,0.1,Manta net,0.333,1.723577,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",10211,3900078.35994234,3871922.02791597
0276422-0000354,8/3/2017 5:00:00 AM,42.846183,6.21225,Western Basin,0,Manta net,0.33,0.092056,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22336,691544.506680514,5288588.5602032
0259524-0000015,4/23/2015 5:00:00 AM,39.84,19.28,Adriatic Sea,0,Manta net,0.333,0.096667,pieces/m3,Medium,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",10740,2146239.78249431,4842718.68362756
0259524-0000053,7/25/2017 5:00:00 AM,35.467,25.165,Aegean Sea,0,Manta net,0.333,0.490476,pieces/m3,Medium,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",10995,2801354.98581273,4227527.07681902
0314180-0000025,5/23/2013 5:00:00 AM,41.8368,17.2529,Adriatic Sea,0.25,Neuston net,0.2,1.09,pieces/m3,High,Cózar et al. 2015,https://doi.org/10.1371/journal.pone.0121762,"Universidad de Cádiz, Spain",23570,1920584.04270727,5136564.13802038
0276422-0000780,7/22/2021 5:00:00 AM,36.929167,15.3425,Ionian Sea,0,Manta net,0.33,0.393604,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22144,1707919.2874958,4429238.17407368
0276422-0000699,7/15/2021 5:00:00 AM,43.765167,9.959,Tyrrhenian Sea,0,Manta net,0.33,0.056846,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22465,1108630.80881021,5429172.86366941
